"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"D1-D8","LED","LED_THT:LED_D3.0mm","8"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"J2","LINK","Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical","1"
"J3","A3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J4","A2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J5","A1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"Q1-Q91","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","91"
"R1-R7,R9,R11-R27","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","25"
"R8,R10","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"R28-R35","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","8"
