Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",95.000000,-16.500000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",95.000000,-26.000000,-90.000000,top
"D1","LED","LED_D3.0mm",65.300000,-69.340000,90.000000,top
"D2","LED","LED_D3.0mm",72.980000,-22.350000,90.000000,top
"D3","LED","LED_D3.0mm",72.980000,-37.590000,90.000000,top
"D4","LED","LED_D3.0mm",72.980000,-52.830000,90.000000,top
"D5","LED","LED_D3.0mm",72.980000,-68.070000,90.000000,top
"D6","LED","LED_D3.0mm",80.660000,-22.350000,90.000000,top
"D7","LED","LED_D3.0mm",80.660000,-37.590000,90.000000,top
"D8","LED","LED_D3.0mm",80.660000,-52.830000,90.000000,top
"J1","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-7.500000,90.000000,top
"J2","LINK","IDC-Header_2x06_P2.54mm_Vertical",40.000000,-95.000000,90.000000,top
"J3","A3","PinHeader_1x03_P2.54mm_Vertical",62.000000,-95.000000,90.000000,top
"J4","A2","PinHeader_1x03_P2.54mm_Vertical",71.500000,-95.000000,90.000000,top
"J5","A1","PinHeader_1x03_P2.54mm_Vertical",81.000000,-95.000000,90.000000,top
"Q1","2N7000","TO-92_Inline_Wide",9.000000,-20.445000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",9.000000,-28.700000,0.000000,top
"Q3","2N7000","TO-92_Inline_Wide",9.000000,-36.955000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",9.000000,-45.210000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",9.000000,-53.465000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",9.000000,-58.545000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",9.000000,-63.625000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",9.000000,-71.880000,0.000000,top
"Q9","2N7000","TO-92_Inline_Wide",9.000000,-76.960000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",21.760000,-19.810000,180.000000,top
"Q11","2N7000","TO-92_Inline_Wide",21.760000,-24.890000,180.000000,top
"Q12","2N7000","TO-92_Inline_Wide",21.760000,-33.145000,180.000000,top
"Q13","2N7000","TO-92_Inline_Wide",21.760000,-38.225000,180.000000,top
"Q14","2N7000","TO-92_Inline_Wide",21.760000,-46.480000,180.000000,top
"Q15","2N7000","TO-92_Inline_Wide",21.760000,-51.560000,180.000000,top
"Q16","2N7000","TO-92_Inline_Wide",21.760000,-59.815000,180.000000,top
"Q17","2N7000","TO-92_Inline_Wide",21.760000,-64.895000,180.000000,top
"Q18","2N7000","TO-92_Inline_Wide",21.760000,-73.150000,180.000000,top
"Q19","2N7000","TO-92_Inline_Wide",21.760000,-78.230000,180.000000,top
"Q20","2N7000","TO-92_Inline_Wide",24.360000,-20.445000,0.000000,top
"Q21","2N7000","TO-92_Inline_Wide",24.360000,-28.700000,0.000000,top
"Q22","2N7000","TO-92_Inline_Wide",24.360000,-33.780000,0.000000,top
"Q23","2N7000","TO-92_Inline_Wide",24.360000,-38.860000,0.000000,top
"Q24","2N7000","TO-92_Inline_Wide",24.360000,-43.940000,0.000000,top
"Q25","2N7000","TO-92_Inline_Wide",24.360000,-49.020000,0.000000,top
"Q26","2N7000","TO-92_Inline_Wide",24.360000,-54.100000,0.000000,top
"Q27","2N7000","TO-92_Inline_Wide",24.360000,-59.180000,0.000000,top
"Q28","2N7000","TO-92_Inline_Wide",24.360000,-67.435000,0.000000,top
"Q29","2N7000","TO-92_Inline_Wide",24.360000,-75.690000,0.000000,top
"Q30","2N7000","TO-92_Inline_Wide",37.120000,-16.635000,180.000000,top
"Q31","2N7000","TO-92_Inline_Wide",37.120000,-21.715000,180.000000,top
"Q32","2N7000","TO-92_Inline_Wide",37.120000,-26.795000,180.000000,top
