"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"D1,D2","LED","LED_THT:LED_D3.0mm","2"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"J2","IN","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","1"
"J3","LINK","Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical","1"
"Q1-Q59","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","59"
"R1,R6-R21,R23,R24,R26-R30","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","24"
"R2-R4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","3"
"R5,R22,R25","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","3"
"R31,R32","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
