"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"C3","2.2n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"D1-D4","LED","LED_THT:LED_D3.0mm","4"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"J2","LINK","Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical","1"
"Q1-Q57","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","57"
"R1,R3-R11,R13-R16,R18-R21,R23-R26,R28","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","23"
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
"R12,R17,R22,R27,R29-R32,R34","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","9"
"R33","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
"R35-R38","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","4"
"R39","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
